id	label	sentence1	sentence2
0	1	借呗还款日当天几点自动扣款	借呗自动扣款是几点扣的
1	1	借呗额度为什么没有了	以前借呗有一万，现在为什么没有了
2	1	蚂蚁花呗用不了了 怎么申请开通	花呗停用了怎样才能开通花呗
3	0	花呗啥时候可以生活缴费	生活缴费的电费怎么不能花呗了
4	0	饿了么不可以用花呗付款了吗	我在淘宝买东西可以用花呗付款吗
5	1	查询蚂蚁花呗账单	花呗欠款总额查询
6	1	我借呗还有额度，为什么借不出来了	借呗上有额度，但是借不出钱
7	1	花呗调整降低额度后次月会恢复额度吗	蚂蚁花呗调低额度后，下月能不能恢复之前额度
8	1	花呗临时额度到期了怎么办	花呗花了临时额度到期需要全部还么
9	0	怎么提请还清花呗付款	花呗没有出账的怎么提前还款
10	0	钱在余额宝会自动还花呗	花呗是在余额扣款还是在余额宝扣款
11	0	花呗怎么注销了还能开通	还花呗转出的钱冻结了怎么办
12	0	蚂蚁借呗一天多少利息	蚂蚁借呗怎么借款？//***元***个月利息多少
13	0	在吗 为什么买家在店内无法使用花呗支付	升级企业店铺后为什么不能使用花呗付款了
14	1	我的花呗可以使用密付还吗	密付可以帮助还花呗么
15	0	商户花呗分期	举报花呗分期商家
16	1	我支付宝花呗还过了为什么还显示我逾期	花呗还了怎么还显示没有还
17	1	花呗已经还款了，怎么还显示未出账	我还款了，银行也扣款了，怎么花呗显示还没还款
18	0	更换手机号码，借呗还能用吗	借呗，能开通吗
19	0	如果这个月***号使用了花呗，是不还是下个月的***号还款	我不用花呗里的钱，就不用还款吗
20	1	如何邀请朋友帮还花呗	可以取消邀请朋友帮付花呗吗
21	0	借呗一直不还会怎样	借呗还款期超出一两天会怎么样
22	0	花呗还有何用处	但是有花呗预授权
23	0	借呗借***六个月换一个月换多少	蚂蚁借呗两个月要还多少
24	0	为什么我的支付宝没有借呗和花贝	为什么我没有花呗使用权限
25	1	开通花呗需要什么	开通花呗的条件是什么为什么
26	1	借呗评估期多久	借呗一般最快大概是多久评估
27	1	借呗还款超一二天怎么办	借呗还款如果逾期怎么办
28	1	借呗需要验证码吗	蚂蚁借呗使用时需要手机验证码吗
29	1	花呗用半年，没有升额度	花呗可用额度没有增加
30	1	借呗前几天还有额度怎么今天就没了	为什么，借呗，还欠着款，现在却说没有额度了
31	1	花呗进行一次分期后，还能分期吗	花呗能二次分期吗
32	1	有过逾期记录会影响借呗吗	花呗逾期对借呗有影响吗
33	0	花呗pass租赁是自己的吗	花呗是帐号什么的吗
34	0	为什么花呗信用分很高，却开通不了借呗	为什么花呗能开通借呗开通不了
35	0	花呗买的客车票已经退款	我用花呗购买的火车票怎么样可以退款
36	1	借呗，可以提现吗	借呗的钱到银行卡能提现吗
37	0	借呗我现在可以分期吗	借呗分期可以***期吗
38	1	为什么我的花呗降到***	花呗为什么降低了一万多
39	1	借呗还在放款，不需要放款了怎么取消订单	借呗我现在想取消订单
40	1	***号花呗可以下个月***号还吗	我的花呗写的是***号可以***号还款吗
41	0	借呗转钱到银行卡需要缴手续费吗	借呗转出到银行卡收手续费吗
42	1	我关闭之前账号的花呗，现在账号怎么还显示另一个账户已开通	另一个账号关了花呗，为什么还是显示另一个账户已经再用
43	0	蚂蚁花呗的时候，无意中点呗，我现在不想用花呗，怎么办	我不想用花呗，我想用我银行卡支付，不想用话费支付怎么修改
44	1	我在淘宝怎么用花呗	支付宝有花呗，不知道在淘宝怎么使用
45	0	用了购物津贴蚂蚁花呗用不了	购物津贴需要使用花呗后才能用吗
46	0	我花呗没还完，为什么我查不到欠款额度了	为什么花呗还了款，花呗欠款总额没减
