id	label	sentence1	sentence2
0	0	花呗是不是已经还完款了	花呗已经全部还清
1	0	蚂蚁借呗还款记录在哪查询	蚂蚁借呗提前还款了记录在哪看
2	0	我的花呗找不到在哪还	花呗用的清单 在哪
3	1	能否再使用花呗	有什么办法能使用花呗
4	1	哪些范围能使用花呗	花呗都能支付哪些
5	0	我不想用花呗，怎么样关掉	怎么关不了花呗
6	1	花呗结账日几号	花呗的还款日是几号
7	0	花唄临时额度可以分期吗	花呗临时额度可以分期还款嘛
8	0	花呗还款是次月借款的当日吗	花呗是不借款，下月还
9	0	怎么给花呗卸载	就赚到花呗
10	0	收款码花呗服务费这么收取	花呗服务费账单
11	1	我的蚂蚁花呗的额度是多少	一般花呗给多大额度
12	1	我的花呗可以申请宁时额度吗	花呗能申请个临时额度吗
13	1	为什么给我关闭借呗功能	为什么年前可以用借呗现在不能了
14	0	蚂蚁花呗，我已经绑定了银行卡，怎么办	支付宝已经绑定银行卡，为什么花呗还要绑定银行卡
15	1	支付宝没有绑银行卡能还蚂蚁借呗么	没绑定银行卡借呗可以扣吗
16	0	贷款证明和结清证明都要	还清借呗的借款后如何开具证明
17	1	两个关联的支付宝花呗可以转换吗	可以把把花呗功能转移到另一个支付宝子账户吗
18	1	为什么花呗付不了	怎么不能花呗付款了
19	0	花呗绑定的手机号没了，怎么更换	换电话号了码怎么登陆花呗
20	0	我借呗有没有合同	借呗合同是支付宝的吗
21	0	我的花呗为什么为负	为什么花呗没有临时额度了都还能负额度消费
22	0	我使用淘宝用花呗的时候就提示您的支付宝账号存在安全隐患	为什么淘宝上的花呗会提示支付宝存在安全风险
23	1	怎么能把借呗额度提升	蚂蚁借呗怎么可以涨额度
24	0	我的花呗有过逾期怎么不可以用	不想使用花呗如何关闭
25	1	蚂蚁借呗常期不用如何关闭	如果长期不用借呗会不会关掉
26	0	淘宝花呗账号和密码我忘了	我的一个帐号的密码忘了，怎么申诉，里面还借了花呗的钱
27	0	我用花呗付的款，要什么时候还	怎么用花呗支付
28	1	但是花呗还是不能用	我的花呗不可以使用
29	0	花呗分期还款要手续费	花呗分期一次性付清会免手续费吗
30	1	花呗能换本人的另外一个账户使用吗	换账号用花呗可以吗
31	0	提示我用以前的手机号码开通花呗	我之前手机号开通了花呗，现在换的新号码开通不了花呗了 怎么解决
32	1	花呗另一账户销户	想注销另一个账号的花呗
33	1	唯品会可以用蚂蚁花呗	唯品会是否可以用花呗
34	0	蚂蚁借呗提升起来的额度还会降低么	为什么会减少我的蚂蚁借呗额度
35	0	问下，为什么我用不了借呗每次都是暂无信用额度是怎么回事	我借呗提前还款，为什么现在额度没有了
36	1	开通花呗显示另一个账户已开通，账户我不认识	怎么在另一个账户显示开通花呗了
37	0	借呗为什么给我停用了	我的借呗给停了怎么启用
38	1	蚂蚁花呗什么时候能开通	多久开通蚂蚁花呗
39	1	蚂蚁借呗逾期怎么处理	借呗逾期之后会怎么
40	0	关闭蚂蚁借呗后如何开启	我的借呗关闭了，我想开启怎么办
41	1	借呗提前还款会影响吗	蚂蚁借呗提前还款对信用有影响么
42	1	借呗到了还款日分期还款***点怎么还没有扣	为什么借呗今天到期还没扣款
43	0	我是商家已成功申请信用卡与花呗收钱，无法点开开关	我开通了花呗信用卡收钱了！怎么收不到钱
44	1	我的花呗为什么不能在美团点外卖	美团上面为什么用不了花呗
45	1	怎样才能恢复冻结的花呗	冻结的花呗怎么才能恢复
46	1	为什么我在支付宝充话费不可以用花呗支付	我花呗为什么充不了话费了
47	0	怎么都找不到我用花呗这个账单	我以前的账号用了有花呗，但是号码不用了，账号找不到了怎么办
48	1	为什么我花呗还了，不有欠款	怎么还了花呗，还显示本人款现未还清
49	0	啥条件满足借呗	怎样查询账户是否满足借呗使用条件
50	1	我没有用花呗借过钱，为什么要还***块多	不是，我的花呗没有开，为什么叫我还款
51	1	花呗使用次数	花呗消费次数什么意思
52	0	花呗不逾期有利息不	花呗逾期未还有利息吗
53	1	花呗***号可以还款	花呗每月最迟还款日是几号
54	0	可是我没有开通过花呗，怎么能显示	但是，我已经用花呗开通了，它是这边显示我还没有开通
55	1	借呗逾期一个星期会影响什么	借呗逾期一天影响以后使用吗
56	1	分期还款会不会影响花呗额度	更改手机号影响花呗额度吗
